mid,date,symbol_full,symbol_short,direction,entry_raw,entry_low,entry_high,stop_raw,stop,target_unit,targets_raw,targets_parsed,hold_note,exit_status,exit_basis,exit_mid,exit_date,exit_price,per_share_pnl,pnl_is_convention,exit_note
131684,2026-07-22T04:02:58+00:00,ANANT RAJ,ANANTRAJ,LONG,628-629,628.0,629.0,600,600.0,absolute,640-650-660-675-685-700,640|650|660|675|685|700,few weeks,open,,,,,,,
131688,2026-07-22T04:12:36+00:00,DATA PATTERN,DATAPATTERN,LONG,4370,4370.0,4370.0,4200,4200.0,absolute,4450-4550-4650-4750,4450|4550|4650|4750,few weeks,open,,,,,,,
131691,2026-07-22T04:24:21+00:00,RR KABEL,RRKABEL,LONG,2436-2438,2436.0,2438.0,2350,2350.0,absolute,2475-2500-2550-2600-2650,2475|2500|2550|2600|2650,few weeks,open,,,,,,,
131694,2026-07-22T04:36:22+00:00,M&M FIN,MMFIN,LONG,378,378.0,378.0,355,355.0,points_from_entry,5-10-15-20-25 -30,5|10|15|20|25|30,few weeks,open,,,,,,,
131699,2026-07-22T04:48:33+00:00,NESTLE,NESTLE,LONG,1475,1475.0,1475.0,1460,1460.0,points_from_entry,7-10-15-20-25 -30,7|10|15|20|25|30,few days,open,,,,,,,
131703,2026-07-22T05:11:06+00:00,PN GADGIL,PNGJL,LONG,660,660.0,660.0,610,610.0,absolute,700-725-750-775-800,700|725|750|775|800,few weeks,open,,,,,,,
131723,2026-07-22T06:57:35+00:00,APOLLO Micro,APOLLOMICRO,LONG,405-407,405.0,407.0,380,380.0,points_from_entry,7-15-25-30-35-40-50-60,7|15|25|30|35|40|50|60,few days,open,,,,,,,
131752,2026-07-23T04:11:24+00:00,PANAMA PETRO,PANAMAPETRO,LONG,504,504.0,504.0,470,470.0,absolute,520-540-560-580-600,520|540|560|580|600,few weeks,open,,,,,,,
131753,2026-07-23T04:15:21+00:00,HEG,HEG,LONG,625,625.0,625.0,570,570.0,absolute,650-675-700-725,650|675|700|725,few weeks,open,,,,,,,
131754,2026-07-23T04:17:08+00:00,Wakefit,WAKEFIT,LONG,148,148.0,148.0,135,135.0,absolute,155-160-165-170,155|160|165|170,few weeks,open,,,,,,,
